날짜,도시가스,전기료,지역난방비,취사용LPG,자동차용LPG
2021-03-01,94.59,100.38,98.73,110.26,113.72
2021-04-01,94.59,100.38,98.73,110.16,113.77
2021-05-01,94.59,100.38,98.73,110.1,113.8
2021-06-01,94.59,100.38,98.73,108.47,111.06
2021-07-01,94.7,86.31,98.73,110.11,114.47
2021-08-01,94.7,86.31,98.73,114.57,120.45
2021-09-01,94.69,102.75,98.73,117.01,123.93
2021-10-01,94.69,105.39,98.73,117.32,124.16
2021-11-01,94.68,105.39,98.73,125.36,134.67
2021-12-01,94.68,105.39,98.73,130.75,137.56
2022-01-01,94.7,105.41,98.54,129.93,135.58
2022-02-01,94.7,105.41,98.54,128.47,132.78
2022-03-01,94.7,105.41,98.54,131.0,136.95
2022-04-01,97.37,111.49,100.92,138.75,147.16
2022-05-01,105.03,111.49,100.92,138.69,143.44
2022-06-01,105.03,111.49,100.92,138.72,143.35
2022-07-01,112.03,102.16,111.18,137.47,138.97
2022-08-01,112.1,102.16,111.18,136.97,137.57
2022-09-01,112.1,118.32,111.18,134.13,132.85
2022-10-01,128.95,124.83,132.45,134.38,132.49
2022-11-01,128.95,124.83,132.45,133.71,130.29
2022-12-01,128.95,124.83,132.45,133.45,129.01
2023-01-01,128.98,136.36,132.45,133.05,128.76
2023-02-01,128.98,136.36,132.45,130.95,125.3
2023-03-01,128.98,136.36,132.45,131.02,124.91
2023-04-01,128.98,136.36,132.45,131.06,124.76
2023-05-01,132.23,140.0,132.45,131.03,124.69
2023-06-01,135.48,143.41,138.34,128.97,121.34
2023-07-01,135.82,127.58,148.49,124.0,114.07
2023-08-01,136.07,127.58,148.49,121.22,109.87
2023-09-01,136.13,143.41,148.49,123.65,112.96
2023-10-01,136.13,143.41,148.49,128.0,116.9
2023-11-01,136.15,143.41,148.49,130.38,122.71
2023-12-01,136.15,143.41,148.49,130.56,122.75
2024-01-01,136.17,143.41,148.49,130.65,122.69
2024-02-01,136.18,143.41,148.49,130.57,122.66
2024-03-01,136.18,143.41,148.49,130.47,122.62
2024-04-01,136.18,143.41,148.49,130.68,122.64
