Date,Total CPI,All items (non-food non-energy),Food and non-alcoholic beverages,"Housing, water, electricity, and fuel",Services less housing,Transportation,Miscellaneous goods and services,Education,Clothing and footwear,"Alcoholic beverages, tobacco and narcotics",Household goods and services,Energy,Recreation and culture,Restaurants and hotels,Health
2017-09-25,0.6882121064852393,0.7650715428273385,0.5999827108087019,0.7601567889862286,0.7103695471520544,0.3507626256114573,0.6915304093133026,0.8210202999962357,0.8448001833500243,0.9547150014296548,0.664778393851075,0.30155909775026757,0.7724319636048254,0.6159766960248882,0.6862178679081783
2017-09-26,0.688041110931124,0.765428254648775,0.5977242470039021,0.7605415669391586,0.7107617864675086,0.3526045011874155,0.6919780151291368,0.8210451596958146,0.8448001833500243,0.9546070106954754,0.6656233621877559,0.302656434230236,0.7765898656958594,0.6162357935880758,0.6856738054869673
2017-09-27,0.6878701153770077,0.7657849664702123,0.5954657831991019,0.7609263448920887,0.711154025782962,0.35444637676337365,0.6924256209449702,0.8210700193953935,0.8448001833500243,0.9544990199612959,0.6664683305244368,0.3037537707102045,0.7807477677868953,0.6164948911512629,0.6851297430657564
2017-09-28,0.6876991198228923,0.7661416782916497,0.5932073193943017,0.7613111228450187,0.7115462650984163,0.35628825233933004,0.6928732267608035,0.8210948790949724,0.8448001833500243,0.9543910292271165,0.6673132988611168,0.3048511071901725,0.7849056698779311,0.6167539887144504,0.6845856806445472
2017-09-29,0.687528124268777,0.7664983901130871,0.5909488555895019,0.7616959007979487,0.7119385044138706,0.3581301279152882,0.6933208325766378,0.8211197387945512,0.8448001833500243,0.9542830384929366,0.6681582671977986,0.30594844367014096,0.7890635719689687,0.617013086277638,0.6840416182233362
2017-09-30,0.6873571287146607,0.7668551019345236,0.5886903917847017,0.7620806787508787,0.7123307437293249,0.3599720034912455,0.693768438392472,0.8211445984941301,0.8448001833500243,0.9541750477587576,0.6690032355344786,0.3070457801501094,0.7932214740600028,0.617272183840825,0.6834975558021252
2017-10-01,0.6871861331605453,0.7672118137559618,0.586431927979902,0.7624654567038087,0.7127229830447783,0.36181387906720275,0.6942160442083063,0.821169458193709,0.8448001833500243,0.9540670570245777,0.6698482038711595,0.30814311663007743,0.7973793761510386,0.6175312814040126,0.6829534933809143
2017-10-02,0.6859145533183959,0.7665598404688803,0.5840184208000156,0.761113999000643,0.7118663487943753,0.36212073055493477,0.6936390173904252,0.821238828667636,0.844726544107882,0.9540355364453692,0.6692893292107249,0.307332994863331,0.785764432815057,0.6176508006025152,0.6820986933776094
2017-10-03,0.6846429734762465,0.7659078671817996,0.5816049136201293,0.7597625412974764,0.7110097145439722,0.3624275820426677,0.693061990572545,0.821308199141563,0.8446529048657405,0.9540040158661602,0.6687304545502895,0.30652287309658455,0.774149489479079,0.6177703198010178,0.6812438933743028
2017-10-04,0.683371393634097,0.7652558938947189,0.5791914064402435,0.7584110835943108,0.7101530802935683,0.3627344335303997,0.692484963754664,0.8213775696154899,0.8445792656235991,0.9539724952869517,0.6681715798898549,0.30571275132983855,0.7625345461430975,0.6178898389995204,0.680389093370998
