Date,Total CPI,Food and non-alcoholic beverages,"Alcoholic beverages, tobacco and narcotics",Clothing and footwear,"Housing, water, electricity, and fuel",Household goods and services,Health,Transportation,Communication,Recreation and culture,Education,Restaurants and hotels,Miscellaneous goods and services,All items (non-food non-energy),Energy,Services,Services less housing,Housing excluding imputed rentals for housing,Actual rentals for housing,Water supply and misc. services relating to dwelling,"Electricity, gas and other fuels",Maintenance and repair of the dwelling
2012-01-27,0.3337757734427973,0.3444647301353661,0.03410334178293385,0.2827252901660097,0.3712984729771251,0.29598685356824983,0.3937059324009282,0.8554487998168161,0.7734709797684052,0.29724056013531314,0.2715217807872478,0.22505679997674113,0.2384567292942531,0.23870381038499117,0.9092507470254939,0.2251165140234869,0.2134516921072217,0.2504854598596497,0.31033148477999695,0.16076937858616278,0.6844752661827508,0.16063809733949247
2012-01-28,0.33437846745017247,0.3441887423278499,0.03448912800683664,0.2838688170085143,0.372399531801342,0.2969862673169139,0.3948035074591022,0.8576435258543071,0.7734709797684052,0.29628807557633613,0.2721946743843391,0.22514174099353906,0.2391376757706076,0.2393636341846777,0.9105968505407611,0.2255735238937363,0.2136830536486147,0.2513442779166631,0.310699870312439,0.1629573024844677,0.6847051698790543,0.1607707934698155
2012-01-29,0.3349811614575477,0.34391275452033376,0.034874914230739434,0.2850123438510189,0.3735005906255589,0.297985681065578,0.39590108251727624,0.8598382518917982,0.7734709797684052,0.29533559101735907,0.27286756798143036,0.22522668201033702,0.23981862224696207,0.24002345798436422,0.9119429540560282,0.2260305337639857,0.21391441519000767,0.25220309597367646,0.311068255844881,0.16514522638277263,0.6849350735753577,0.1609034896001385
2012-01-30,0.3355838554649229,0.34363676671281757,0.03526070045464223,0.2861558706935235,0.3746016494497758,0.29898509481424207,0.3969986575754502,0.8620329779292892,0.7734709797684052,0.294383106458382,0.27354046157852163,0.22531162302713495,0.24049956872331654,0.24068328178405077,0.9132890575712954,0.22648754363423512,0.21414577673140064,0.2530619140306898,0.311436641377323,0.16733315028107754,0.6851649772716611,0.16103618573046152
2012-01-31,0.3361865494722981,0.3433607789053014,0.035646486678545024,0.28729939753602807,0.3757027082739927,0.29998450856290615,0.39809623263362426,0.8642277039667803,0.7734709797684052,0.293430621899405,0.2742133551756129,0.2253965640439329,0.24118051519967104,0.24134310558373728,0.9146351610865625,0.22694455350448453,0.21437713827279364,0.25392073208770316,0.3118050269097651,0.16952107417938245,0.6853948809679645,0.16116888186078454
2012-02-01,0.3367892434796733,0.3430847910977852,0.036032272902447815,0.2884429243785327,0.3768037670982096,0.30098392231157023,0.39919380769179824,0.8664224300042713,0.7734709797684052,0.29247813734042793,0.2748862487727042,0.22548150506073084,0.2418614616760255,0.24200292938342383,0.9159812646018297,0.22740156337473394,0.21460849981418662,0.25477955014471654,0.3121734124422071,0.17170899807768736,0.685624784664268,0.16130157799110756
2012-02-02,0.3368376560140509,0.34391441254128435,0.03594979446837204,0.2884838763823625,0.3773201971012943,0.3012983300862079,0.39946064713122353,0.8698361486746388,0.7734709797684052,0.2909157173057182,0.27335549217261623,0.22466723672385064,0.2366892900460079,0.24145753163456124,0.917389129425135,0.2267176137407678,0.2134326145183336,0.2552540701757052,0.31282695451567794,0.1717324891308065,0.6858686874453827,0.1616566474671425
2012-02-03,0.33688606854842845,0.3447440339847835,0.035867316034296264,0.2885248283861923,0.37783662710437893,0.30161273786084547,0.3997274865706489,0.8732498673450062,0.7734709797684052,0.28935329727100845,0.2718247355725283,0.22385296838697044,0.2315171184159903,0.24091213388569868,0.9187969942484402,0.22603366410680167,0.2122567292224806,0.2557285902066939,0.31348049658914884,0.17175598018392563,0.6861125902264972,0.16201171694317745
2012-02-04,0.33693448108280605,0.3455736554282826,0.03578483760022049,0.2885657803900221,0.3783530571074636,0.3019271456354831,0.3999943260100742,0.8766635860153736,0.7734709797684052,0.2877908772362987,0.27029397897244034,0.22303870005009024,0.22634494678597267,0.2403667361368361,0.9202048590717454,0.22534971447283553,0.21108084392662757,0.25620311023768266,0.3141340386626197,0.17177947123704476,0.6863564930076118,0.16236678641921243
2012-02-05,0.3369828936171836,0.34640327687178174,0.03570235916614472,0.28860673239385193,0.3788694871105483,0.30224155341012077,0.40026116544949947,0.8800773046857411,0.7734709797684052,0.2862284572015889,0.26876322237235234,0.22222443171321005,0.22117277515595504,0.2398213383879735,0.9216127238950507,0.2246657648388694,0.20990495863077457,0.25667763026867135,0.3147875807360906,0.1718029622901639,0.6866003957887264,0.16272185589524737
2012-02-06,0.3370313061515612,0.34723289831528087,0.03561988073206895,0.28864768439768174,0.37938591711363295,0.30255596118475836,0.4005280048889248,0.8834910233561085,0.7734709797684052,0.28466603716687916,0.2672324657722644,0.22141016337632985,0.21600060352593742,0.23927594063911095,0.9230205887183559,0.22398181520490326,0.20872907333492155,0.25715215029966004,0.31544112280956144,0.171826453343283,0.686844298569841,0.16307692537128232
2012-02-07,0.3370797186859388,0.34806251975878,0.03553740229799317,0.28868863640151154,0.3799023471167176,0.302870368959396,0.4007948443283501,0.886904742026476,0.7734709797684052,0.2831036171321694,0.26570170917217645,0.22059589503944965,0.21082843189591982,0.23873054289024837,0.9244284535416611,0.22329786557093714,0.20755318803906855,0.25762667033064873,0.3160946648830323,0.17184994439640214,0.6870882013509556,0.16343199484731727
2012-02-08,0.3371281312203163,0.3488921412022791,0.035454923863917395,0.28872958840534135,0.38041877711980226,0.30318477673403366,0.4010616837677754,0.8903184606968434,0.7734709797684052,0.2815411970974597,0.2641709525720885,0.21978162670256945,0.2056562602659022,0.23818514514138578,0.9258363183649664,0.222613915936971,0.20637730274321553,0.2581011903616374,0.3167482069565032,0.17187343544952127,0.6873321041320702,0.16378706432335224
2012-02-09,0.3371765437546939,0.34972176264577826,0.03537244542984162,0.28877054040917116,0.3809352071228869,0.30349918450867125,0.40132852320720075,0.8937321793672108,0.7734709797684052,0.27997877706274993,0.26264019597200056,0.21896735836568929,0.20048408863588457,0.23763974739252322,0.9272441831882716,0.22192996630300488,0.20520141744736253,0.25857571039262617,0.31740174902997403,0.1718969265026404,0.6875760069131849,0.1641421337993872
2012-02-10,0.33722495628907145,0.3505513840892774,0.03528996699576585,0.28881149241300097,0.3814516371259716,0.3038135922833089,0.40159536264662604,0.8971458980375783,0.7734709797684052,0.2784163570280402,0.2611094393719126,0.2181530900288091,0.19531191700586698,0.23709434964366063,0.9286520480115769,0.22124601666903873,0.2040255321515095,0.25905023042361486,0.3180552911034449,0.17192041755575954,0.6878199096942994,0.16449720327542214
2012-02-11,0.33727336882344905,0.3513810055327765,0.03520748856169007,0.2888524444168308,0.38196806712905623,0.30412800005794655,0.40186220208605133,0.9005596167079457,0.7734709797684052,0.27685393699333044,0.25957868277182466,0.2173388216919289,0.19013974537584935,0.23654895189479805,0.9300599128348821,0.22056206703507258,0.20284964685565648,0.25952475045460355,0.3187088331769158,0.17194390860887868,0.688063812475414,0.16485227275145709
2012-02-12,0.3373217813578266,0.35221062697627564,0.0351250101276143,0.2888933964206606,0.38248449713214094,0.30444240783258414,0.4021290415254767,0.9039733353783131,0.7734709797684052,0.27529151695862064,0.25804792617173666,0.2165245533550487,0.18496757374583173,0.2360035541459355,0.9314677776581873,0.21987811740110647,0.2016737615598035,0.25999927048559224,0.31936237525038663,0.1719673996619978,0.6883077152565287,0.16520734222749206
2012-02-13,0.3373701938922042,0.35304024841977477,0.03504253169353853,0.2889343484244904,0.3830009271352256,0.3047568156072218,0.402395880964902,0.9073870540486806,0.7734709797684052,0.2737290969239109,0.2565171695716487,0.2157102850181685,0.17979540211581413,0.2354581563970729,0.9328756424814926,0.21919416776714032,0.20049787626395046,0.2604737905165809,0.32001591732385753,0.17199089071511695,0.6885516180376432,0.165562411703527
2012-02-14,0.3374186064265818,0.3538698698632739,0.03496005325946275,0.2889753004283202,0.38351735713831026,0.30507122338185944,0.40266272040432727,0.910800772719048,0.7734709797684052,0.27216667688920115,0.25498641297156077,0.2148960166812883,0.1746232304857965,0.23491275864821032,0.9342835073047978,0.2185102181331742,0.19932199096809747,0.2609483105475697,0.3206694593973284,0.17201438176823608,0.6887955208187578,0.16591748117956195
2012-02-15,0.3374670189609593,0.35469949130677303,0.034877574825386976,0.28901625243215,0.3840337871413949,0.30538563115649703,0.4029295598437526,0.9142144913894155,0.7734709797684052,0.2706042568544914,0.2534556563714728,0.2140817483444081,0.16945105885577888,0.23436736089934776,0.935691372128103,0.21782626849920805,0.19814610567224444,0.26142283057855836,0.32132300147079923,0.17203787282135521,0.6890394235998725,0.1662725506555969
2012-02-16,0.3375154314953369,0.3555291127502721,0.0347950963913112,0.2890572044359798,0.38455021714447957,0.3057000389311347,0.4031963992831779,0.9176282100597828,0.7734709797684052,0.26904183681978167,0.2519248997713849,0.2132674800075279,0.16427888722576128,0.23382196315048517,0.9370992369514084,0.21714231886524193,0.19697022037639145,0.26189735060954705,0.32197654354427013,0.17206136387447432,0.689283326380987,0.16662762013163188
2012-02-17,0.33756384402971445,0.35635873419377123,0.03471261795723543,0.28909815643980963,0.3850666471475642,0.30601444670577227,0.40346323872260326,0.9210419287301502,0.7734709797684052,0.2674794167850719,0.25039414317129693,0.2124532116706477,0.15910671559574366,0.23327656540162262,0.9385071017747136,0.2164583692312758,0.19579433508053842,0.26237187064053574,0.322630085617741,0.17208485492759346,0.6895272291621016,0.16698268960766682
