구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2008년07월01일,1561.62,1516.23,1510.15,1535.50,1482.15,1517.09,1517.09,1522.14,1499.09,1517.71,1511.17,1491.92,1522.50,1532.85,1543.44,1497.18,
2008년07월02일,1557.25,1556.80,1513.84,1534.66,1471.20,1525.30,1515.55,1526.11,1504.00,1510.26,1507.28,1502.78,1512.05,1527.37,1518.75,1510.38,
2008년07월03일,1562.71,1531.61,1520.27,1540.81,1493.72,1534.73,1539.42,1535.02,1504.94,1523.40,1512.60,1493.00,1508.66,1527.53,1520.46,1510.62,
2008년07월04일,1565.21,1533.46,1515.10,1539.58,1493.40,1524.81,1527.00,1532.40,1498.59,1523.28,1513.23,1497.15,1520.47,1535.95,1522.40,1505.96,
2008년07월05일,1556.90,1534.15,1517.67,1551.20,1481.00,1517.50,1512.44,1532.93,1489.91,1527.45,1515.00,1498.53,1507.91,1533.22,1512.65,1508.44,
2008년07월06일,1576.80,1525.50,1519.09,1542.71,1518.75,1530.81,1540.22,1544.23,1503.03,1518.80,1514.56,1498.36,1495.55,1522.67,1533.33,1507.65,
2008년07월07일,1568.53,1540.00,1516.34,1542.23,1498.18,1532.24,1531.45,1530.83,1512.57,1519.58,1510.57,1500.75,1507.25,1534.29,1530.34,1511.60,
2008년07월08일,1574.84,1532.26,1519.84,1539.47,1498.38,1520.91,1553.88,1530.98,1505.23,1518.72,1517.00,1497.75,1523.96,1520.20,1521.40,1561.84,
2008년07월09일,1575.18,1545.75,1530.62,1547.59,1503.28,1547.26,1546.16,1541.01,1536.45,1517.11,1531.50,1487.60,1524.33,1544.77,1538.31,1575.87,
2008년07월10일,1607.45,1545.47,1550.09,1571.84,1519.35,1563.72,1548.54,1559.42,1544.73,1535.04,1542.11,1513.83,1535.00,1539.78,1533.69,1572.32,
2008년07월11일,1633.81,1567.20,1559.65,1580.38,1535.10,1559.20,1574.16,1571.12,1540.26,1548.76,1542.29,1538.45,1545.35,1546.69,1558.22,1572.58,
2008년07월12일,1611.54,1560.42,1563.00,1595.64,1524.11,1558.87,1570.11,1581.18,1559.45,1539.71,1532.68,1512.14,1550.58,1570.24,1565.20,1580.42,
2008년07월13일,1621.59,1559.69,1561.46,1583.69,1522.90,1591.40,1569.46,1583.57,1551.37,1554.61,1547.26,1525.00,1544.28,1563.29,1564.14,1572.22,
2008년07월14일,1639.30,1573.16,1561.63,1575.89,1539.72,1579.84,1568.85,1576.77,1549.72,1569.38,1524.58,1528.05,1535.62,1565.65,1554.29,1574.29,
2008년07월15일,1629.65,1553.30,1567.24,1586.38,1533.36,1569.45,1581.75,1589.09,1546.88,1570.82,1555.64,1523.26,1546.56,1562.70,1561.21,1566.44,
2008년07월16일,1617.46,1566.20,1562.80,1586.50,1525.18,1558.75,1600.33,1586.65,1558.00,1572.45,1552.18,1518.65,1557.89,1565.03,1562.81,1570.03,
2008년07월17일,1629.12,1548.42,1563.34,1589.05,1526.07,1578.11,1577.60,1574.02,1552.91,1548.40,1553.12,1517.66,1531.53,1568.02,1566.59,1576.83,
2008년07월18일,1617.07,1557.78,1567.84,1581.94,1528.91,1561.00,1560.53,1577.63,1557.97,1567.91,1550.52,1520.41,1538.33,1564.03,1562.31,1576.57,
2008년07월19일,1622.68,1558.75,1566.36,1587.85,1519.58,1582.78,1604.53,1583.74,1551.96,1562.64,1566.50,1524.71,1562.69,1571.38,1556.94,1574.55,
2008년07월20일,1608.68,1559.62,1563.20,1578.69,1533.90,1557.63,1571.70,1579.30,1544.05,1574.66,1546.63,1509.09,1538.26,1568.83,1569.54,1573.68,
2008년07월21일,1608.17,1565.60,1564.91,1591.58,1527.88,1570.05,1547.30,1585.59,1545.94,1568.21,1553.59,1532.09,1555.23,1569.82,1556.63,1551.73,
2008년07월22일,1617.39,1551.18,1565.09,1574.65,1529.75,1564.83,1587.28,1568.68,1545.88,1552.48,1547.40,1512.05,1557.66,1579.56,1573.22,1544.96,
2008년07월23일,1616.78,1570.09,1561.17,1575.11,1524.63,1562.85,1564.20,1572.79,1539.07,1577.06,1531.87,1519.21,1526.42,1561.06,1557.42,1546.22,
2008년07월24일,1597.48,1537.46,1551.22,1532.86,1513.57,1543.45,1552.25,1560.98,1540.06,1569.18,1538.22,1511.93,1535.00,1558.79,1551.00,1553.93,
2008년07월25일,1596.06,1530.50,1551.42,1552.66,1512.72,1551.00,1571.91,1559.38,1541.00,1551.08,1530.17,1517.15,1525.00,1561.98,1560.60,1515.85,
2008년07월26일,1586.10,1538.28,1553.78,1569.22,1517.72,1539.62,1543.07,1551.56,1526.67,1535.60,1533.48,1504.21,1534.00,1548.70,1546.71,1509.74,
2008년07월27일,1582.68,1534.75,1543.41,1549.00,1522.77,1535.72,1583.25,1543.71,1512.30,1540.00,1522.75,1504.21,1529.16,1551.17,1541.80,1506.40,
2008년07월28일,1597.48,1537.14,1540.52,1556.55,1501.00,1552.72,1552.30,1546.23,1527.37,1527.42,1532.60,1513.90,1530.62,1548.21,1539.38,1511.96,
2008년07월29일,1587.00,1529.41,1536.91,1529.42,1510.81,1536.73,1541.33,1546.10,1530.41,1538.80,1533.00,1491.04,1526.25,1549.22,1549.95,1509.29,
2008년07월30일,1583.68,1530.71,1537.23,1540.21,1511.31,1537.15,1510.76,1539.94,1511.71,1520.50,1514.72,1494.93,1526.66,1541.61,1543.56,1472.53,
2008년07월31일,1553.75,1528.06,1523.40,1510.27,1518.57,1510.00,1523.75,1525.18,1501.44,1523.40,1512.30,1494.95,1507.14,1524.92,1518.25,1471.37,
2008년08월01일,1540.78,1535.25,1514.56,1519.15,1522.22,1495.80,1526.00,1504.66,1506.93,1502.72,1505.16,1477.22,1528.84,1514.19,1527.43,1480.43,
2008년08월02일,1529.47,1509.64,1507.02,1500.00,1509.37,1484.92,1500.30,1501.35,1486.89,1496.10,1513.36,1495.15,1497.57,1517.94,1513.93,1470.64,
2008년08월03일,1539.50,1514.00,1501.62,1492.50,1548.00,1500.42,1492.16,1517.43,1492.42,1487.11,1529.88,1468.40,1494.00,1520.28,1512.33,1468.53,
2008년08월04일,1537.59,1502.00,1502.87,1501.60,1496.25,1487.00,1493.28,1512.03,1504.58,1501.00,1517.50,1471.16,1519.15,1517.66,1529.19,1469.33,
2008년08월05일,1534.46,1508.33,1507.97,1507.07,1475.00,1496.17,1494.14,1505.22,1488.00,1514.94,1489.37,1471.15,1519.11,1525.51,1493.38,1474.29,
2008년08월06일,1547.25,1487.30,1489.97,1491.90,1472.00,1489.57,1486.75,1504.20,1487.63,1498.93,1486.76,1468.54,1499.21,1510.97,1522.00,1436.94,
2008년08월07일,1487.72,1479.93,1472.02,1475.11,1461.90,1477.11,1536.28,1493.92,1476.67,1493.61,1476.47,1459.04,1512.85,1494.57,1507.88,1434.03,
2008년08월08일,1507.37,1459.33,1472.11,1451.20,1458.20,1472.00,1460.22,1485.07,1467.67,1458.93,1474.89,1451.44,1494.41,1494.19,1502.73,1424.77,
2008년08월09일,1503.85,1497.78,1464.77,1445.92,1436.90,1466.23,1494.63,1473.46,1469.03,1463.52,1480.20,1466.57,1483.00,1489.57,1496.59,1428.12,
2008년08월10일,1485.86,1474.66,1460.86,1437.09,1445.87,1462.75,1465.62,1464.25,1447.42,1499.18,1471.71,1437.75,1493.00,1493.89,1498.56,1423.73,
2008년08월11일,1505.48,1477.95,1470.72,1455.00,1465.77,1475.26,1507.12,1466.67,1466.67,1434.25,1474.76,1427.72,1448.23,1471.94,1498.18,1429.77,
