구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2010년10월31일,1981.33,1881.95,1871.38,1882.30,1866.19,1849.70,1887.50,1903.75,1882.03,1858.00,1887.05,1853.28,1835.61,1890.40,1880.65,,
2010년11월01일,1981.67,1883.66,1871.36,1887.27,1867.02,1849.16,1888.61,1903.84,1884.17,1864.66,1887.97,1853.46,1837.15,1889.26,1880.57,,
2010년11월02일,1985.42,1883.62,1872.17,1889.80,1864.58,1848.56,1893.05,1905.17,1885.60,1864.66,1888.02,1853.64,1835.15,1889.26,1880.12,,
2010년11월03일,1984.15,1884.01,1871.63,1890.10,1867.82,1847.21,1890.42,1906.05,1884.17,1869.66,1888.08,1854.00,1836.69,1891.14,1881.59,,
2010년11월04일,1984.02,1884.64,1870.68,1890.87,1868.13,1847.00,1887.52,1907.70,1882.62,1857.52,1889.40,1854.96,1838.06,1892.88,1878.84,,
2010년11월05일,1983.36,1883.21,1869.61,1892.40,1867.86,1847.54,1888.05,1906.69,1883.37,1862.78,1893.30,1854.22,1839.40,1893.65,1878.22,,
2010년11월06일,1982.82,1884.17,1871.95,1891.20,1866.40,1849.97,1890.68,1905.78,1882.37,1862.78,1892.75,1854.96,1842.28,1892.50,1876.20,,
2010년11월07일,1983.51,1883.16,1869.00,1890.35,1870.38,1851.00,1888.60,1904.26,1882.68,1862.78,1893.30,1854.96,1838.73,1887.95,1874.48,,
2010년11월08일,1983.48,1885.00,1868.68,1889.45,1871.77,1849.91,1886.10,1903.71,1886.10,1862.78,1893.42,1853.11,1838.06,1887.95,1874.28,,
2010년11월09일,1986.39,1886.25,1868.60,1895.74,1872.50,1845.00,1889.90,1903.80,1880.37,1857.52,1894.05,1853.62,1839.40,1889.47,1878.12,,
2010년11월10일,1988.14,1885.69,1868.82,1895.77,1872.77,1847.75,1889.90,1904.51,1883.92,1857.00,1895.44,1852.00,1838.60,1891.30,1878.10,,
2010년11월11일,1988.44,1886.60,1868.35,1895.40,1873.61,1848.67,1890.90,1904.75,1881.89,1863.84,1896.80,1854.88,1840.00,1892.17,1879.26,,
2010년11월12일,1988.52,1886.89,1869.80,1895.40,1872.67,1851.48,1890.68,1905.87,1880.10,1866.89,1896.52,1854.14,1847.30,1897.50,1879.62,,
2010년11월13일,1989.02,1887.07,1867.68,1894.40,1875.55,1849.86,1889.63,1906.44,1884.77,1866.89,1894.48,1856.74,1847.30,1894.04,1878.68,,
2010년11월14일,1987.74,1888.03,1869.91,1895.62,1874.83,1850.40,1892.26,1905.52,1888.46,1861.63,1891.38,1856.74,1841.80,1894.04,1878.73,,
2010년11월15일,1988.05,1887.28,1870.02,1898.12,1874.18,1851.62,1880.05,1907.42,1890.60,1861.63,1891.67,1855.37,1839.53,1894.04,1881.30,,
2010년11월16일,1997.81,1891.78,1873.60,1903.75,1875.40,1855.97,1889.89,1915.49,1892.59,1870.36,1895.20,1858.07,1846.71,1897.32,1882.72,,
2010년11월17일,2001.36,1894.83,1875.48,1906.15,1878.24,1854.89,1887.52,1918.21,1893.14,1875.05,1894.61,1858.07,1852.20,1897.08,1882.50,,
2010년11월18일,2003.29,1896.76,1878.76,1900.33,1877.65,1858.72,1893.05,1918.73,1896.11,1881.89,1896.38,1859.34,1854.86,1897.80,1881.06,,
2010년11월19일,2003.32,1897.00,1877.45,1910.05,1880.94,1860.08,1888.31,1920.75,1898.25,1873.55,1897.85,1861.37,1855.26,1898.72,1881.60,,
2010년11월20일,2003.51,1897.93,1878.12,1915.08,1880.10,1857.89,1894.10,1921.02,1903.33,1863.55,1899.02,1861.66,1855.93,1897.87,1884.59,,
2010년11월21일,2003.62,1899.09,1878.97,1911.88,1880.63,1860.32,1893.05,1920.55,1904.85,1868.55,1899.02,1863.14,1848.57,1894.91,1882.08,,
2010년11월22일,2002.64,1900.91,1877.83,1908.94,1880.63,1859.51,1892.35,1920.91,1902.85,1868.55,1898.73,1863.14,1850.00,1890.03,1882.25,,
2010년11월23일,2005.78,1900.12,1877.41,1912.36,1883.37,1855.43,1892.09,1922.31,1904.71,1868.05,1900.05,1863.29,1851.92,1889.84,1882.94,,
2010년11월24일,2006.92,1901.32,1879.00,1915.19,1879.58,1861.16,1902.10,1922.45,1905.57,1871.30,1900.97,1863.29,1849.16,1890.16,1884.13,,
2010년11월25일,2006.80,1903.32,1882.47,1911.59,1879.36,1863.66,1901.70,1922.70,1901.85,1870.30,1902.02,1863.21,1849.16,1888.62,1888.47,,
2010년11월26일,2008.14,1901.70,1883.31,1911.62,1880.41,1861.10,1893.90,1922.22,1901.51,1879.30,1904.25,1864.25,1850.83,1887.79,1889.56,,
2010년11월27일,2007.94,1903.55,1884.14,1914.05,1879.86,1863.38,1893.90,1923.24,1903.93,1875.30,1903.68,1865.67,1847.36,1889.04,1887.52,,
2010년11월28일,2007.98,1903.20,1881.74,1914.27,1879.86,1863.94,1892.95,1924.00,1907.37,1884.52,1904.39,1867.07,1843.66,1887.79,1886.84,,
2010년11월29일,2007.70,1903.58,1883.25,1914.40,1881.94,1864.50,1894.15,1925.45,1904.62,1878.21,1905.15,1867.44,1846.16,1893.52,1884.70,,
2010년11월30일,2006.95,1902.34,1884.31,1911.16,1882.02,1864.77,1897.14,1924.58,1903.92,1880.31,1902.78,1867.96,1837.61,1894.26,1887.07,,
2010년12월01일,2008.24,1903.21,1883.63,1907.72,1880.35,1863.44,1894.23,1924.28,1901.65,1880.31,1903.96,1868.33,1840.69,1892.63,1887.73,,
2010년12월02일,2007.35,1904.27,1885.10,1909.91,1882.21,1864.74,1893.22,1925.11,1904.61,1885.31,1903.46,1868.33,1840.69,1891.60,1889.71,,
2010년12월03일,2007.13,1904.27,1886.38,1915.14,1881.60,1864.74,1892.31,1924.58,1904.55,1886.36,1903.15,1866.85,1840.69,1896.29,1889.17,,
2010년12월04일,2007.33,1906.05,1886.39,1911.38,1879.84,1865.31,1894.13,1925.32,1906.17,1894.42,1904.27,1870.25,1840.83,1902.30,1887.10,,
2010년12월05일,2006.91,1904.36,1887.77,1912.50,1878.90,1864.00,1903.60,1924.52,1906.27,1894.42,1903.79,1869.15,1842.50,1901.53,1887.10,,
2010년12월06일,2008.18,1904.70,1884.76,1910.83,1884.14,1865.66,1903.45,1925.53,1900.79,1888.63,1902.61,1868.33,1840.00,1903.46,1888.53,,
2010년12월07일,2030.74,1909.75,1893.61,1931.33,1893.21,1875.69,1901.54,1942.04,1915.06,1894.89,1915.76,1872.64,1862.40,1909.53,1895.39,,
2010년12월08일,2039.97,1916.35,1894.93,1937.29,1898.66,1877.77,1909.45,1948.02,1921.68,1908.21,1918.26,1879.32,1864.70,1907.23,1905.05,,
2010년12월09일,2044.30,1920.88,1898.68,1937.02,1904.72,1881.14,1911.27,1952.18,1931.28,1905.05,1921.34,1880.03,1869.63,1912.34,1908.44,,
2010년12월10일,2047.72,1926.33,1900.20,1942.43,1906.94,1885.57,1920.05,1956.08,1934.32,1912.15,1922.68,1881.10,1873.27,1918.11,1911.12,,
2010년12월11일,2048.50,1931.35,1897.87,1944.05,1908.36,1887.57,1923.85,1958.19,1945.21,1917.42,1927.63,1882.67,1876.70,1919.65,1911.50,,
2010년12월12일,2049.51,1932.69,1898.97,1948.29,1910.02,1889.00,1923.35,1958.47,1948.81,1917.42,1927.08,1881.25,1874.40,1918.38,1914.10,,
2010년12월13일,2050.16,1933.63,1898.97,1949.08,1913.41,1885.11,1925.85,1959.45,1951.71,1918.47,1928.75,1885.40,1876.40,1919.56,1916.38,,
2010년12월14일,2063.34,1939.60,1906.87,1956.32,1918.52,1890.61,1936.35,1967.96,1960.29,1921.50,1933.71,1891.85,1876.40,1922.32,1923.00,,
2010년12월15일,2064.72,1942.61,1913.65,1958.83,1918.25,1896.38,1935.68,1971.19,1962.85,1924.83,1934.94,1899.36,1890.40,1924.88,1925.76,,
2010년12월16일,2066.64,1945.00,1917.40,1960.00,1920.94,1899.67,1949.21,1975.17,1965.82,1933.72,1940.16,1903.92,1887.54,1927.38,1930.78,,
2010년12월17일,2067.54,1946.75,1922.19,1962.43,1923.10,1901.00,1951.84,1975.41,1966.71,1933.16,1940.86,1907.12,1886.00,1928.53,1934.32,,
2010년12월18일,2067.27,1947.20,1924.65,1961.24,1924.15,1904.43,1950.26,1975.64,1963.14,1935.38,1944.34,1910.32,1888.50,1931.84,1934.87,,
2010년12월19일,2067.96,1948.02,1925.40,1961.78,1923.71,1906.94,1955.94,1976.92,1963.46,1929.83,1945.77,1910.79,1889.46,1927.44,1936.25,,
2010년12월20일,2069.06,1948.95,1925.78,1957.37,1925.72,1906.40,1954.83,1978.67,1966.32,1931.50,1944.17,1910.76,1891.00,1939.46,1937.80,,
2010년12월21일,2072.88,1949.29,1930.19,1965.18,1927.44,1905.59,1956.52,1979.96,1951.85,1933.38,1948.11,1913.24,1896.61,1938.36,1936.31,,
