구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2008년09월06일,1405.85,1374.28,1369.41,1381.13,1382.97,1382.80,1374.91,1372.84,1338.14,1338.39,1331.45,1323.67,1364.25,1354.77,1370.32,1313.21,
2008년09월07일,1409.08,1384.10,1359.05,1381.15,1357.87,1384.05,1371.41,1370.26,1336.60,1327.13,1327.15,1327.12,1360.11,1355.31,1366.83,1310.88,
2008년09월08일,1400.83,1377.26,1372.65,1379.72,1368.09,1368.36,1366.09,1368.15,1336.97,1335.05,1331.33,1322.44,1357.79,1358.70,1369.00,1313.90,
2008년09월09일,1409.57,1385.33,1357.59,1382.50,1363.33,1382.39,1381.85,1371.38,1342.06,1338.48,1325.96,1318.00,1357.86,1349.46,1368.01,1312.55,
2008년09월10일,1404.54,1376.04,1366.77,1395.04,1379.68,1391.30,1372.87,1369.03,1343.33,1334.03,1325.97,1329.14,1364.58,1354.31,1364.71,1308.68,
2008년09월11일,1408.32,1386.80,1354.48,1380.07,1356.47,1376.76,1374.30,1367.16,1334.90,1331.74,1320.15,1320.67,1336.74,1347.06,1364.49,1303.85,
2008년09월12일,1411.98,1385.09,1362.66,1369.72,1375.24,1374.97,1374.32,1367.44,1329.53,1331.25,1325.91,1321.09,1366.80,1347.52,1362.33,1299.39,
2008년09월13일,1405.95,1374.02,1355.35,1375.87,1370.02,1370.54,1388.80,1364.21,1339.15,1328.06,1319.24,1324.75,1343.15,1347.64,1367.51,1305.29,
2008년09월14일,1410.85,1376.12,1377.57,1368.57,1349.05,1366.43,1349.05,1366.65,1332.54,1334.48,1320.80,1322.35,1356.95,1350.65,1352.45,1321.25,
2008년09월15일,1388.19,1365.35,1353.85,1372.91,1386.19,1395.05,1385.04,1360.91,1330.04,1333.82,1324.65,1322.80,1356.42,1349.75,1358.63,1300.25,
